Название;Цена в долларах;Цена в гривнах;Город
 Mitsubishi ASX 2021 ;21 328 $;569 000 грн;Черкаси 
 Mitsubishi Outlander 2021 ;23 427 $;625 000 грн;Кривий Ріг 
 Mitsubishi Outlander 2021 ;28 675 $;765 000 грн;Черкаси 
 Mitsubishi ASX 2021 ;21 478 $;573 000 грн;Харків 
 Mitsubishi ASX 2021 ;21 328 $;569 000 грн;Кривий Ріг 
 Mitsubishi ASX 2021 ;21 328 $;569 000 грн;Кривий Ріг 
 Mitsubishi Outlander 2020 ;28 450 $;759 000 грн;Київ 
 Mitsubishi Outlander 2021 ;25 676 $;685 000 грн;Кривий Ріг 
 Mitsubishi Outlander 2021 ;25 676 $;685 000 грн;Кривий Ріг 
 Mitsubishi L 200 2021 ;41 944 $;1 119 000 грн;Полтава 
 Mitsubishi ASX 2021 ;21 328 $;569 000 грн;Кривий Ріг 
 Mitsubishi Outlander 2021 ;23 427 $;625 000 грн;Київ 
 Mitsubishi Eclipse Cross 2021 ;33 923 $;905 000 грн;Одеса 
 Mitsubishi Pajero Sport 2020 ;45 993 $;1 227 000 грн;Київ 
 Mitsubishi ASX 2021 ;21 328 $;569 000 грн;Одеса 
 Mitsubishi Outlander 2021 ;25 676 $;685 000 грн;Вінниця 
 Mitsubishi L 200 2021 ;41 944 $;1 119 000 грн;Вінниця 
 Mitsubishi Outlander 2021 ;28 675 $;765 000 грн;Миколаїв 
 Mitsubishi Pajero Sport 2021 ;39 320 $;1 049 000 грн;Полтава 
 Mitsubishi Pajero Sport 2021 ;50 809 $;1 355 500 грн;Одеса 
 Mitsubishi ASX 2021 ;27 701 $;739 000 грн;Полтава 
 Mitsubishi ASX 2021 ;27 701 $;739 000 грн;Полтава 
